,0
0,4416777.881743536
1,4122621.992898636
2,4291062.107358623
3,3877212.9420201206
4,4304809.774514347
5,4704598.634610583
6,4845995.960356251
7,3972658.9778434313
8,4363779.0002812585
9,4724019.259270091
10,4805924.783576096
11,4257641.386681426
12,4676989.910690627
13,4396894.532338544
14,4970105.328958744
15,4824330.317776416
16,4745197.399232597
17,4471195.442980431
18,4664134.3932058355
19,4045977.7732247575
20,4105685.2153690457
21,4819291.90872937
22,4284125.191574754
23,4923093.852367167
24,4585223.152299439
25,4026653.052146993
26,3621966.8293552464
27,4488648.0025652535
28,4237528.959945723
29,5275093.084678995
30,5148921.266978332
31,4651940.003086399
32,4167713.730128952
33,4716716.499055165
34,4232712.3360131215
35,5443918.227341013
36,4367903.425165501
37,4345825.477235011
38,4092921.872985902
39,4910161.368218672
40,4676411.6638908405
41,4288092.083951715
42,3635251.7631992223
43,4890549.0888694655
44,4537130.075132407
45,4050921.0160846286
46,3992740.8825223083
47,4620998.331638766
48,4371421.693999443
49,4249955.425400297
50,4166292.1448934698
51,4137030.4466837253
52,4757799.0198006155
53,4221315.601358903
54,4272254.021000019
55,4836073.36712447
56,5059496.660184035
57,4719858.217994719
58,4736506.201501199
59,4614645.607075428
60,4099650.7653061477
61,4448803.60320543
62,4737124.365988848
63,4897181.73080076
64,4727115.758287251
65,5011675.940936221
66,4105981.862545332
67,4888294.922254748
68,4862507.20521746
69,4937530.911515685
70,4904088.663435076
71,4529237.680264117
72,4459618.511766491
73,4469026.420460531
74,4460985.458579917
75,4364999.576656576
76,4807532.906684134
77,4116985.49651649
78,3921754.6635794127
79,4600592.533648484
80,4988951.004186047
81,4371817.258461847
82,4647539.790387789
83,4484438.363611286
84,4968553.237811795
85,3773108.1286224374
86,4910910.043340164
87,4743218.608894798
88,4571721.382502816
89,4497400.216316963
90,4886172.272253825
91,4620945.186299641
92,4603498.206652643
93,4339591.7127684755
94,4204246.301851873
95,4564044.659949844
96,4642775.071223547
97,4234994.727871571
98,4243983.365542125
99,5348682.154545436
100,4784546.395016281
101,3718592.286755003
102,4570034.442973179
103,3915764.826653984
104,4259412.10047811
105,3850557.9356539515
106,4512455.612683674
107,4889018.917853694
108,4314255.109581064
109,5507374.483587576
110,5035965.483852348
111,4612981.356450325
112,4466704.590876252
113,4699839.057326772
114,4481896.462706988
115,4759929.8948390875
116,4063825.956924763
117,4717868.671760957
118,4708324.769688285
119,4681242.6200716775
120,4831852.587295378
121,4272157.668017853
122,4614212.456487799
123,4550990.757571271
124,3717411.535422035
125,3970040.4996500616
126,4507641.15524347
127,4287067.064613219
128,4529237.042317231
129,3700300.939201673
130,4219526.1220309995
131,4528978.279974571
132,4155737.4844695656
133,3786076.0989844785
134,3733335.7808272247
135,4479810.211917972
136,4255775.853155078
137,4086046.8315660795
138,4651547.317637465
139,4812443.011407112
140,5383967.793942457
141,3658814.1060358407
142,4859064.818957315
143,4084294.30360473
144,4912049.5197689505
145,4008219.0639774553
146,4688223.130610635
147,4293014.6459412305
148,4001548.057859034
149,4038648.729404458
150,4707147.85991305
151,4109549.090215013
152,4366394.884715826
153,5402699.900831349
154,4743426.88237006
155,4354582.8510290785
156,4340064.937220073
157,4714530.346811343
158,4278237.172399322
159,4243795.850354077
160,4068957.2578247096
161,4103559.2582017295
162,4228699.220727274
163,4316198.468185712
164,5078704.675144789
165,4270275.540550764
166,4616872.683784596
167,4034569.89648353
168,4447579.322605263
169,5033554.64912866
170,4244789.541357275
171,3963845.8299661623
172,4538462.539348834
173,4218201.513121532
174,4810270.796394336
175,3803632.7384131094
176,5245463.057619232
177,4300578.197505525
178,4325018.531473869
179,3999770.533958728
180,4454618.280382672
181,4333254.913922921
182,4615903.421840944
183,4385282.901081998
184,4389701.228804176
185,3939150.2409550105
186,3553080.8019791883
187,4408893.7536424445
188,4324114.149040961
189,4314293.780250844
190,4071713.452066411
191,4414454.532743377
192,4896679.332325556
193,4051520.2736229002
194,4897604.492259616
195,4507925.583623202
196,4732431.9689679835
197,4156907.685424509
198,4126949.7899920456
199,4855073.32957029
200,4538249.375703489
201,4053688.7397659807
202,4314269.426549955
203,4699702.370794014
204,5084513.012163705
205,4141630.7620218825
206,4050875.0802140916
207,4711045.840555271
208,4435908.915450298
209,4196233.311505834
210,4280050.653710677
211,4455305.925387908
212,4182365.5502770348
213,4387526.633027246
214,4924576.340027158
215,3607590.5104268906
216,4323508.874696147
217,4956867.335280947
218,4367529.913748505
219,3778301.7054934045
220,5054546.036387183
221,3884310.9083084282
222,4689540.621827221
223,4551441.5659154095
224,5087606.485336264
225,4090727.2573805945
226,4045772.6674984605
227,4918479.926571012
228,4597739.699540166
229,4438631.903134949
230,4339312.012405815
231,4929517.119104397
232,4227585.811688121
233,4341221.4679662855
234,4427863.674606322
235,4369725.63382309
236,4758380.311015712
237,4621220.895247784
238,4515032.777038142
239,4423052.687488788
240,4442298.559969721
241,4440102.096026763
242,4228901.856660506
243,5188077.363859365
244,4801674.083630783
245,4558031.051788152
246,4503160.45451079
247,4456424.093980984
248,5027374.708605761
249,4426394.840038606
250,4301526.4577111835
251,4615080.407560208
252,4618513.023948628
253,4054147.7351302034
254,4485467.277462745
255,4299498.840931195
256,4490406.409276824
257,3896629.9156779926
258,4636573.620686384
259,4491635.636312423
260,4469770.124459984
261,4538379.495762792
262,4809195.902716421
263,4069036.7781855953
264,3983712.3639923832
265,4714169.361561111
266,4418264.453026684
267,5315077.260323918
268,4610175.3245155765
269,4489629.271652786
270,4072657.4317298983
271,4235506.91027063
272,4649668.615764287
273,4365260.291816645
274,4242799.002465293
275,4793195.336476358
276,4753217.63758489
277,4250953.230106892
278,4214520.982202437
279,4956778.352785898
280,4625085.48600654
281,4147013.6772519285
282,3679462.314991647
283,4154737.1821003635
284,5159932.517179611
285,4300019.695311642
286,4736148.743110659
287,3935575.765092209
288,4279300.655328334
289,4224756.601708362
290,4626774.966934491
291,4132154.116409215
