,0
0,4060744.6179286106
1,4083383.4436804918
2,4278257.179212095
3,3133874.9307463667
4,3939833.1639987314
5,5838202.573214619
6,5871363.988802905
7,3191812.048112331
8,3589961.2761099474
9,3630963.656698893
10,4921491.804624829
11,4072844.15362814
12,4256841.683334079
13,4592125.542882911
14,7023616.60709573
15,4807864.010554716
16,5033853.887753541
17,3715576.1434906563
18,4805288.535534104
19,3680727.210434459
20,4500771.837463827
21,5088835.6076862905
22,3930873.481784226
23,4965765.106575792
24,11588976.986536786
25,3305753.4166599703
26,3029802.350663295
27,4904904.775599781
28,4214371.022598045
29,5954237.74748291
30,6435221.653778397
31,3805429.55769027
32,4080224.659947847
33,4967244.350187483
34,4655960.629848507
35,5577696.073162875
36,4577423.113567888
37,4402482.1953974515
38,4104088.3857528786
39,6064084.692590173
40,4999625.453142269
41,3388337.818902663
42,2621199.0863087596
43,5246798.956475492
44,4789432.232728629
45,3091708.749460421
46,3633605.7666529925
47,4708267.2245067675
48,4253186.294594517
49,4432361.311254845
50,4371444.2526287045
51,3946689.74226128
52,3438754.3982179067
53,4701132.043557069
54,5083098.768894497
55,4911886.538994475
56,6878056.148591139
57,3699662.0388218593
58,6306942.270198357
59,5071346.888990993
60,4571641.2966282815
61,4845414.644134396
62,4537783.773912626
63,5949405.007324794
64,4791609.965129751
65,5663950.402902025
66,4006058.6203587037
67,5143835.823186628
68,4714100.831997531
69,4200650.090809794
70,5622940.353500524
71,5874183.348694731
72,4796188.316074276
73,6861653.056697483
74,3819726.8318335456
75,4560081.555701838
76,4893264.821529749
77,3930628.561125522
78,3698619.4152284707
79,4152677.704773031
80,5897310.317693163
81,4313641.044246148
82,5396102.661935305
83,4724030.450682878
84,5626888.774331066
85,3094239.152962891
86,4548495.403544488
87,5396199.924512181
88,4487660.317859384
89,9870462.453499286
90,6507452.0493575055
91,5454542.320882705
92,6170610.004607921
93,5162842.946103461
94,4185971.32076664
95,3782951.734913577
96,5616992.923256723
97,5065921.742419845
98,4114014.2316193203
99,7146827.508405998
100,6197610.225555621
101,2537524.153256722
102,3381221.045137363
103,2564207.6338115414
104,5547090.605333143
105,2983179.6900971374
106,4249313.716270394
107,5212206.506722282
108,3790517.1113026864
109,7834927.723608011
110,5395295.742374178
111,4899564.451944302
112,4433676.739530798
113,5433314.3689793395
114,4380754.407348893
115,5937538.059747793
116,3503950.379237517
117,5352018.107733531
118,5065566.08259855
119,3978420.4772951356
120,4796576.000356705
121,3581765.8217547215
122,4371281.241227671
123,4005811.177904467
124,4711310.567594539
125,3912741.785257668
126,4557746.1444644835
127,3468960.1093157767
128,4978479.600363267
129,2788742.7230817727
130,4090853.129177134
131,4879709.569057603
132,3487805.2803698946
133,2957230.0493302476
134,2810815.6626370726
135,4777104.226781052
136,4715029.556090563
137,3903465.3364292434
138,4613338.981655386
139,4870316.27503536
140,6986209.386999349
141,2607082.734158612
142,6529440.751774445
143,4182031.956744735
144,4925525.81246382
145,3770744.1408327487
146,3805701.812444464
147,3507615.641423887
148,3339991.647989283
149,3829261.2061304385
150,4725166.221256578
151,4132992.979081082
152,3691659.3570980174
153,5705908.654910179
154,6651086.393869695
155,3344434.2210297994
156,4807036.294922386
157,4686362.014957429
158,3656240.856917621
159,4346538.960208774
160,3561050.734145118
161,3544148.441474144
162,4100665.4032968045
163,4805982.717656429
164,6166800.740463024
165,3945812.9933715
166,5190409.802355416
167,3340316.589025442
168,4503135.801149302
169,5647209.374850447
170,3814229.467594765
171,3208002.49786894
172,4311105.842353918
173,3963136.9536762475
174,5086546.250575453
175,3971565.1469881623
176,6359889.996007093
177,4192142.1933692056
178,5248115.454042575
179,2914449.15182645
180,4747422.585215718
181,4285386.842755704
182,5046192.311542388
183,2938678.4082060573
184,3833262.5808533966
185,4887213.728303846
186,2724895.9901038376
187,4753218.530291956
188,3763777.015816222
189,3430714.7743028984
190,3852109.7470235717
191,3924657.7944336575
192,5430442.329369389
193,3687181.2734769895
194,6981619.151836437
195,5469723.393462023
196,4263881.101992432
197,5093296.771285259
198,3367234.5565483645
199,5317510.566123043
200,3876611.5652843174
201,3621002.413851425
202,4116401.6473084954
203,3927196.3374491795
204,5991477.415950429
205,2893967.517123869
206,3272695.036864104
207,4845361.4489368545
208,3401132.2102633207
209,3660443.1097983043
210,5016456.221626718
211,4780748.625556752
212,4310933.291332293
213,4206235.889875984
214,5565583.505294978
215,2803776.7594373063
216,3714255.282016895
217,6054576.873291436
218,4742105.382212141
219,2440047.8294156124
220,6514977.51251186
221,3555701.6966752606
222,5110263.471988082
223,4338490.220346272
224,5436770.618865547
225,5435596.581839474
226,4007618.9161236132
227,4785573.875680414
228,4420289.9616989065
229,4750408.617507945
230,3797472.226772655
231,6720695.238765771
232,3253952.939531879
233,4226936.315501702
234,3790600.6924970257
235,4842416.8438713085
236,4476511.618305825
237,5431491.04868851
238,5108560.186732268
239,4104170.3292551306
240,4472236.977786595
241,4412327.759357481
242,4241765.035301216
243,5963800.9020760665
244,4956921.246681609
245,4524291.827131728
246,4018475.1756862076
247,3789087.5504115764
248,5185241.455746803
249,5085335.405930831
250,4284829.8413816625
251,5125827.903488198
252,5026769.706368179
253,3823310.699138707
254,4254345.633600637
255,3930572.47673752
256,4592780.354533468
257,3140817.5564623196
258,4176660.895599181
259,4225364.422895306
260,4802007.181628314
261,4711693.357534589
262,5214938.449660382
263,3140576.027251095
264,3714332.4730900247
265,4049618.6529518464
266,3838645.2303730976
267,7967164.062372289
268,5110945.046450543
269,4061063.7093294268
270,5321296.572824041
271,4504594.378253642
272,4719549.955484778
273,4782376.217589579
274,4153074.9053957053
275,4763404.315486348
276,5279470.559276733
277,4694774.455793705
278,4219345.6640886385
279,5919405.9533013655
280,4819597.657751252
281,3821996.875882635
282,2474713.539881261
283,4331758.503844814
284,6325364.597079801
285,4279696.880671066
286,4733694.36025769
287,4267044.901787038
288,4352319.736971843
289,4004569.4726418643
290,5226151.827670872
291,3265315.071231478
292,3885744.032133158
293,4334092.35751086
294,3979465.266371844
295,5044517.193057967
296,4225008.066300887
297,6169156.941333244
298,4510089.39645971
299,4594626.696570954
300,3532142.6979250396
301,4031944.0993505074
302,3022126.7247440964
303,4531405.762199697
304,3227570.121631047
305,3457022.999260997
306,4443009.02917657
307,4525056.601705523
308,3000369.26541504
309,4804268.339496179
310,4381038.041456437
311,4306502.94888155
312,3213067.6147792856
313,2881706.248499008
314,2738121.320084877
315,4828879.64654947
316,3366464.6497269296
317,4279508.071088551
318,4690723.074136501
319,4233671.838671473
320,4473600.389531607
321,3728854.9827168877
322,4577977.853806374
323,4229314.0152187655
324,3584395.0043854704
325,4933244.870320096
326,5106693.620665816
327,3742078.491987082
328,4600227.9069685545
329,7075527.423222261
330,3148437.685725077
331,3875854.0859327735
332,4863885.075382813
333,4406314.722633954
334,4141078.657707894
335,3582650.807088904
336,2027455.5804940185
337,4595529.772851757
338,4408740.638825999
339,5164127.891445862
340,4351565.178740284
341,3371173.1614078865
342,4264380.5534850955
343,4883018.944068079
344,4325530.2058817595
345,4253029.461376841
346,3563214.586715494
347,5312551.593065969
348,4487257.298851244
349,5007562.736846502
350,4534664.889793172
351,7433790.273444128
352,3297894.670077307
353,4146910.2507728273
354,3652089.260671135
355,5073771.118884648
356,4181081.940335578
357,4075564.4067165484
358,5970108.634165257
359,4226885.970860857
360,2788742.7230817727
361,4405544.587932933
362,3558751.168477671
363,4902679.269659947
364,3843980.323480749
365,4267664.049627978
366,4017253.1013631164
367,4118777.772829877
368,5547470.930678281
369,3985188.1643938166
370,4267005.054354525
371,3933126.552728351
372,4314115.12974287
373,4774913.17115851
374,4376363.93858192
375,3436372.5560510918
376,4289357.647283779
377,5068816.424058612
378,5599368.675922246
379,3707524.2758325124
380,4757413.422785744
381,4009321.356086049
382,4961624.217976747
383,4063939.7520180647
384,4264525.127104225
385,6075714.979174954
386,4156906.7427983107
387,5172375.750812043
388,4807408.66828319
389,4550822.502902128
390,5256367.029206779
391,4937551.297377264
392,3854076.227603298
393,3741492.187148093
394,4967810.071248761
395,4076688.0939296633
396,3839211.1488168593
397,6712005.551621362
398,4232345.282515829
399,4758860.58610054
400,2983146.1317783175
401,4694862.234786064
402,4998357.768536424
403,5338562.332119215
404,3360932.947906198
405,3932894.9285793803
406,4191141.771602162
407,4683971.450568923
408,3444286.286321417
409,4292883.067022039
410,4211428.105280649
411,3924063.6391867255
412,5587328.656331822
413,3464617.342207726
414,5261216.385275834
415,4207587.98674685
416,5479256.770917402
417,2497800.455194932
418,3676358.1785254804
419,4120535.170329347
420,3294294.625201029
421,4317875.202930676
422,3735313.664766066
423,4512855.0545437755
424,5349265.561629539
425,5478396.756303425
426,4207956.916925846
427,3739122.2801314825
428,5145140.188989594
429,3457849.4145502755
430,4256104.96729539
431,3732725.46300373
432,2443925.674000586
433,4892214.980358549
434,3014022.8900672006
435,4298290.087262296
436,4829267.001729231
437,2914880.854603064
438,3678185.734835302
439,3858950.466143477
440,4049069.607489414
441,4327758.440780769
442,4207779.917910227
443,3096461.132916434
444,5163823.474557289
445,3262339.9803995886
446,5241252.503066869
447,5311735.298835769
448,4087456.4749448486
449,6061064.453358382
450,5206065.651813241
451,4764177.262644243
452,4775847.149599977
453,5867859.121008818
454,4061712.1869160146
455,3350296.8880144963
456,4023487.8484920175
457,4671927.17450131
458,3539759.706653718
459,2942453.9565983317
460,5720941.630352526
461,4044271.682677461
462,5205137.586432756
463,3827107.5126539534
464,4889877.415113572
465,3564042.8052089103
466,5313005.563879941
467,4249166.639573437
468,5726778.083545141
469,6427180.058524524
470,3313891.3743890766
471,3515117.428580711
472,3053624.9108913345
473,3596749.9264773494
474,4746995.739234701
475,4633421.578843696
476,4445432.591555451
477,3054448.011138383
478,4913939.690165544
479,6289927.596148508
480,6310118.5787157975
481,4299302.382425263
482,2357034.8163821963
483,5194320.769245102
484,4515959.611927296
485,3995860.862298249
486,4182359.337006095
487,3783374.4952288005
488,3926171.0819279994
489,4731117.445810898
490,4571840.096869827
491,3556134.2209851444
492,3999087.784045077
493,6038736.090031805
494,4076043.1273767427
495,4372524.1431045355
496,4049979.5546234706
497,4033366.6338039725
498,4150456.559958755
499,4775535.168711358
500,4883370.170969785
501,4258621.026731478
502,5271891.726025012
503,5300185.188209929
504,2545739.959177151
505,3612283.9616421685
506,4621788.259952055
507,3407468.6708889236
508,4208412.835448783
509,4437273.27290564
510,5024271.548965198
511,4147519.2872248795
512,2962861.5573656573
513,3576831.7937680124
514,3631652.458775862
515,4477716.981421497
516,5059878.259256003
517,5356249.543462596
518,5320774.406349216
519,4408239.768126892
520,4020206.1589742177
521,6756264.274539527
522,4357382.4294524
523,4157630.917711768
524,4367518.664051924
525,4325117.8003119035
526,4202138.072157512
527,5673713.204570994
528,5786084.072629168
529,5003988.47794895
530,4429631.906355869
531,4373996.653424617
532,4822195.256099319
533,4154965.632263648
534,4151134.0806071693
535,3305753.4166599703
536,4524702.674417552
537,3476040.485313005
538,4342651.491534837
539,5634283.688876111
540,3416423.868038092
541,3154343.0979195386
542,3960007.4085226366
543,4573580.173320431
544,3566373.8838446247
545,4481083.075911473
546,4377521.295149981
547,6208941.319633163
548,3728298.473098603
549,5104304.456840087
550,4637388.956664975
551,5393140.027022982
552,4028352.8842074745
553,5111742.185763284
554,4373551.000365317
555,3555269.5264426284
556,3422256.073803275
557,3864801.563516516
558,4911377.141465334
559,5486107.839519888
560,3751208.9017340946
561,3476157.2451179195
562,5036932.145551934
563,3812252.3954571676
564,5144967.213651198
565,4354021.5074404925
566,4357712.997897484
567,3606567.177137083
568,4633292.835846183
569,4070271.0481262035
570,4169228.3786952016
571,5211749.029879709
572,4870849.675872649
573,3993674.60366615
574,5929758.824773755
575,3340703.682663667
576,5136983.427848231
577,3466208.2591217286
578,2351559.933239623
579,4419340.882933025
580,3030814.959811062
581,3795370.212528515
582,5588306.753403581
583,3614985.691835214
584,2795961.701364004
585,4318517.886713519
586,4580397.549978884
587,3375434.3403077945
588,4279101.638925693
589,4397515.997151082
590,2322466.803546511
591,3868333.963022976
592,2751236.050368727
593,4773278.234332403
594,4548814.503831585
595,3498084.8764993306
596,12483948.665449288
597,4142423.2195577254
598,7243666.356283912
599,4362123.7508304715
600,4958948.942205032
601,3511104.726343623
602,4934826.148776839
603,4775351.865372587
604,5059860.517999611
605,4116627.4106660993
606,4439003.960485801
607,4363697.537370978
608,3290368.450669479
609,5165158.7730490435
610,4633856.5701968735
611,4021018.863790574
612,4450337.649039595
613,4579662.563365072
614,4568780.4414649615
615,4984127.622603555
616,5621047.35609406
617,3622515.3584124446
618,3783193.299561088
619,3653396.8830465665
620,4211448.558191462
621,5554063.532780768
622,4330138.129294128
623,5319824.900395804
624,4713575.515459988
625,6786907.13602472
626,4344829.332406263
627,5037429.0616026195
628,4106425.7808603016
629,3949515.46206027
630,5983167.143715701
631,4795022.864967091
632,3739668.546500774
633,4832684.5153239425
634,3757353.485110767
635,6884526.547384076
636,3915608.8449267074
637,3203744.6482075024
638,5590740.508360839
639,8503757.219498588
640,4123301.2036472815
641,3766953.666695179
642,3171122.575015882
643,3849263.2847926435
644,5348804.013983003
645,5883710.02218597
646,5341197.609365257
647,4363697.537370978
648,7401321.464754177
649,3741808.2033508625
650,3766519.207686965
651,3014688.251587546
652,4900187.1714994395
653,5223348.504112729
654,4079827.2988429866
655,5193821.580771343
656,4067170.1660256498
657,4817620.106951953
658,5663171.466929773
659,4846565.646589763
660,5103497.890246168
661,5288457.921053591
662,4952748.490111561
663,5016572.3050804725
664,3387106.966993498
665,4428776.685010658
666,4991864.306860086
667,4762269.835422617
668,3867552.506277739
669,4305977.395302323
670,5815437.022963977
671,5862244.913811219
672,5464094.609430525
673,5157209.765651775
674,5306247.816421452
675,4147093.958931519
676,3854559.256855729
677,4867951.99800154
678,5244589.239530665
679,5233025.862714534
680,3615673.004138927
681,4180155.5483558862
682,3766212.477599028
683,4916516.430747951
684,4518847.748201681
685,4570308.870186644
686,4195116.242527467
687,4257510.264157843
688,6038007.049180843
689,5666064.7767228205
690,3546819.894257114
691,4222216.926354895
692,3298171.9746815413
693,4221387.142688489
694,3612580.0434871092
695,3764852.9796471973
696,3861514.89904001
697,4578421.334649847
698,6694641.36515476
699,3926337.2051156703
700,4671357.8376893215
701,3987927.440970748
702,2861004.305691352
703,5074226.29443123
704,4819851.776638616
705,5580393.437861468
706,4102059.1127735316
707,3790309.1854013116
708,3864349.2556685763
709,5169685.353997305
710,6287990.273833364
711,5228443.040844209
712,2674711.1345455153
713,4228832.312553573
714,4160562.202892891
715,4561855.468498482
716,5815156.298710279
717,3202385.4873906556
718,6048075.365924563
719,4376498.110561349
720,4653273.829900354
721,3588739.80256379
722,4908787.176372894
723,2946996.2844734387
724,5585658.923177672
725,4789650.023323308
726,4115290.5829356643
727,3423890.987354294
728,2708425.725883872
729,4463931.0186149785
730,3943665.9860461955
731,5370204.917825957
732,2466306.442048125
733,4510773.12468043
734,4060894.691456998
735,4289930.481807332
736,5382762.294736652
737,5092361.753911542
738,2860731.994636856
739,4547579.542213647
740,4949597.072076526
741,4221864.178972522
742,4361945.272758888
743,3344209.8557335148
744,4451057.266038153
745,6842994.702391083
746,3891943.690250111
747,5060544.635572582
748,4751748.836411361
749,5028469.935347071
750,5330858.469930064
751,3172770.3636515937
752,3791167.7034874423
753,3654378.8178872634
754,4363697.537370978
755,4012858.6742947786
756,4571483.276934867
757,4759939.054360298
758,3239117.1682360442
759,5112180.1882521175
760,5924416.414729342
761,3768143.141492848
762,2625645.2584682074
763,3549956.770478377
764,5037594.511511362
765,5076346.668836327
766,3480532.5365758124
767,3697997.817619649
768,2753191.045178638
769,5797440.035979434
770,3884052.2902550236
771,4399428.6519370545
772,4739181.9753786875
773,4064240.1275241245
774,4485230.228032866
775,4576405.884150127
776,2497668.3699320895
777,4672893.319669099
778,4165699.460939682
779,4233758.628089536
780,5176399.270172307
781,6208741.024321067
782,5314573.782599591
783,3947287.9287462924
784,4678717.918027576
785,4980233.50020314
786,6078563.630960689
787,4265633.684045917
788,4553128.108927776
789,4817149.422473989
790,3364148.7516492815
791,4344829.332406263
792,3160088.1010729983
793,3921458.9068416813
794,4568694.299952673
795,4280128.74153965
796,4704907.442914276
797,4041577.953109547
798,5037756.923403818
799,4581758.435016319
800,5914964.4575403975
801,4249299.106423078
802,4891018.68459417
803,4730484.248336049
804,3551813.0298689757
805,4333517.13673776
806,4713108.397041006
807,5568711.784273856
808,3180357.319148263
809,4548065.034138724
810,4154483.899286681
811,5907232.244772082
812,3978282.3893990875
813,4634872.142629025
814,2864854.114228121
815,6541640.625381874
816,2610992.5992432735
817,3020874.727378122
818,4008415.0104454057
819,4572140.755935228
820,4427402.319167827
821,3681084.9640531912
822,5106738.4762949
823,3474652.385663536
824,3474792.9230177286
825,4215917.270366922
826,3162709.544628851
827,3012697.1540387003
828,4145356.516358256
829,5189163.928174718
830,5687776.489316366
831,4192533.3203227324
832,2558417.8813987696
833,5709119.910770942
834,5496840.200373634
835,2890426.0402794657
836,3855546.5531491297
837,4108109.652586697
838,5344336.322914131
839,2770644.5856409753
840,4374027.100934759
841,5000871.103106744
842,3949788.212900917
843,3356326.606758571
844,5027458.978018866
845,6818827.41578245
846,2988234.7004174427
847,5781250.092989987
848,4257557.88463989
849,3475369.1019206657
850,5160198.908954232
851,3963573.9122847468
852,4615788.5681741135
853,3147159.651778154
854,5047255.775724289
855,3582943.833511831
856,5553035.2228352185
857,4006914.692207173
858,3044179.081774274
859,3855640.3036859017
860,4855288.88850643
861,4693521.4230127325
862,3941336.3125020727
863,5461516.172966179
864,5171552.424954576
865,5665845.09014358
866,2916970.677608242
867,4836097.6913266545
868,4999260.693035009
869,5784600.85123693
870,4643486.633219284
871,4550341.457738786
872,4599034.139657856
873,4653028.99382512
874,3313859.539632115
875,3464520.666485471
876,3812755.8755649324
877,4147519.2872248795
878,2805317.850594648
879,5431417.216142476
880,4612911.832730144
881,2581361.5987502984
882,4542857.841454612
883,5110016.9102782365
884,5258406.446883269
885,4520646.122918017
886,4851025.723528065
887,5507226.588872232
888,2639663.448455877
889,4183713.26002188
890,4268299.356153057
891,3812796.3546506525
892,4275702.694912582
893,3240416.7875777557
894,5575758.863851318
895,4717576.834875841
896,4808051.828423087
897,4715884.423269701
898,3770124.25144074
899,3347878.476956405
900,4894800.637594082
901,5176310.575917914
902,3295845.0686757783
903,2575697.6234415043
904,3846001.1300928993
905,3279494.102488107
906,5259176.469475937
907,4198386.897076476
908,4701020.185342451
909,2928921.8464964116
910,4535619.605566426
911,4894494.622327287
912,4571483.276934867
913,4725015.492831917
914,2476486.5658042575
915,4571600.889669478
916,3466248.8300000713
917,4795090.360022696
918,4236793.259097145
919,3746403.8926200303
920,4453417.760778552
921,3789925.552373993
922,4594510.5837174235
923,3974553.9133209
924,4644509.435306115
925,5896365.26972453
926,4527104.245796105
927,4949404.026209054
928,5062561.065068445
929,4609283.533783075
930,4759312.639484585
931,3914359.0214054673
932,4044271.682677461
933,4825441.557191517
934,4034347.776407184
935,4314977.610863518
936,4127659.911915538
937,3746218.4751487733
938,5370202.66948373
939,5012290.549914209
940,4496176.8075634185
941,4771704.550867777
942,3934033.680948496
943,4688765.9608101
944,4603456.735564437
945,3914860.961466162
946,4968040.661676621
947,3678212.3018153165
948,4450196.316475556
949,3083593.5556168435
950,5346328.060611643
951,4108543.786474704
952,2662931.206140633
953,4494305.974334473
954,4943429.472699896
955,6048967.868442826
956,3561306.82722408
957,4058226.445965979
958,4505541.162888587
959,3239559.43769312
960,6441920.693032289
961,4418110.282153293
962,4398055.322618249
963,5546281.785454411
964,6615218.311611999
965,3999621.307667048
966,4906621.297842411
967,5125984.924076389
968,3346743.3787225056
969,3610596.63923379
970,4256104.96729539
971,3941765.416315397
972,4337517.817731473
973,2376418.283003139
974,5022645.6503512245
975,3900008.5113508175
976,3716981.311972386
977,5019383.575552159
978,4686520.784463682
979,3360216.773127756
980,4711501.23719833
981,4723378.463242993
982,4104301.9751670435
983,7151607.82526002
984,5078227.771091775
985,3689264.1907275207
986,3076324.406802472
987,3144195.11924155
988,6007810.179745491
989,4677562.776558416
990,4157040.3262039423
991,2421071.987590428
992,3613830.9198985402
993,4408387.012257646
994,5013327.765792253
995,2100637.6903369077
996,2327752.486773201
997,4839637.572309684
998,4387901.151062794
999,4834449.218082988
1000,4295474.512137044
1001,6587164.8324209545
1002,5982296.343626735
1003,4668800.908383354
1004,3344209.8557335148
1005,6135087.736816837
1006,5131130.1365607465
1007,3574376.17344436
1008,3595368.635251935
1009,3287598.535451544
1010,4798069.572512259
1011,3939678.618640002
1012,3962834.774788707
1013,4117683.286150986
1014,4451413.320300818
1015,4814933.5929847695
1016,5360941.256153266
1017,4825726.340445071
1018,3685868.150781708
1019,4095760.0906153014
1020,3836682.00041339
1021,3995375.5022740928
1022,5249239.834765078
1023,2893418.6856478998
1024,4920806.832670183
1025,3213215.7641030606
1026,4062852.7464450924
1027,3550456.966504265
