,0
0,4230555.07776265
1,4304989.887175098
2,4371283.5686380165
3,4081162.9493575534
4,4252486.590233554
5,4592411.05364199
6,4673233.727214302
7,4082136.5614867844
8,4406042.2975227805
9,4580680.800565686
10,4669267.130700759
11,4120095.214690604
12,4512896.428141505
13,4702325.575253
14,4855852.79123563
15,4702349.894269076
16,4497628.43729055
17,4412087.208333122
18,4438839.635431308
19,4168655.8726948355
20,4251929.730432265
21,4604552.947974837
22,4124023.1785848816
23,4597527.731177671
24,8430329.706485713
25,3662754.2236685148
26,3374324.29792484
27,4592832.644963229
28,4400070.818209918
29,4932527.893335585
30,4905211.962224213
31,4624227.31888508
32,4300712.753678095
33,4611843.079237691
34,4396567.874559505
35,5138323.655860891
36,4436129.628612768
37,4435128.279568226
38,3950182.6138636544
39,4706894.834604037
40,4646974.3490136955
41,4093159.18557007
42,3737020.528951544
43,4720046.03931564
44,4304172.785038925
45,3885673.052461441
46,3940486.472897177
47,4522490.072207031
48,4454199.488330208
49,4396051.373687191
50,4317882.071423618
51,4330138.86521827
52,4544463.801768139
53,4473411.71868432
54,4384008.592874449
55,4723465.5640467
56,4798681.524147648
57,4643063.657323672
58,4894729.205251858
59,4553955.153825412
60,3957930.0469674207
61,4530443.127365746
62,4630318.073807428
63,4644370.191186421
64,4493282.04732061
65,5082668.060459267
66,4393346.431825044
67,4731692.521530173
68,4608534.349365905
69,4736455.820721214
70,4731424.70289676
71,4597059.764815741
72,4454851.0798088
73,4117872.94070342
74,4220118.829062601
75,4372651.215122466
76,4648653.239532854
77,4305927.786604955
78,4195634.35258453
79,4556902.919249398
80,4779942.707489585
81,4253796.124542006
82,4537223.513426482
83,4451234.422036154
84,4842742.923306916
85,3444226.2797102467
86,4784921.853142914
87,4742318.965535008
88,4481219.133376946
89,7912976.03394307
90,4633268.606581116
91,4511990.2516022585
92,4467417.882535996
93,4459952.614430196
94,4089142.0898076934
95,4453547.795887339
96,4545929.670688749
97,4190196.50627249
98,4034727.5422843304
99,4987782.007353883
100,4690540.116610446
101,3473529.174015063
102,4507835.427921191
103,3871502.9833480204
104,3970205.129821947
105,3873201.452109392
106,4491270.550603028
107,4831930.9254855355
108,4355792.485259219
109,5074860.309497274
110,4755773.476694137
111,4574112.247582846
112,4343370.165770297
113,4711341.842026978
114,4475148.769906726
115,4624213.19893496
116,4295571.666144132
117,4579819.027745951
118,4585708.119901572
119,4367489.018463906
120,4667532.10722271
121,4333540.172396356
122,4575259.927653592
123,4436791.276557294
124,3691450.2339652814
125,4038684.792238061
126,4540576.185446122
127,4237226.503581959
128,4419750.368873077
129,3768824.3925710227
130,4142973.1222101543
131,4381282.196617724
132,4322644.3109722
133,3814407.5665451046
134,3847032.977828318
135,4504276.114797936
136,4391088.931038275
137,4001720.8819851195
138,4580385.167874812
139,4710544.523028634
140,5048157.030908646
141,3542064.136015742
142,4768983.790097656
143,4130427.1425211905
144,4749024.374053217
145,3996535.213672844
146,4274213.729023586
147,4007163.45015075
148,4138108.2116141343
149,4013177.818526796
150,4515864.882997379
151,4165133.288984606
152,4325723.653809375
153,5126994.1004013745
154,4749475.987369695
155,4227713.665678914
156,4345659.644384521
157,4608978.978179096
158,4449566.399065087
159,4404543.263680917
160,4277292.2614924135
161,4022024.180448965
162,4188205.550771497
163,4436878.152440058
164,4898980.637259831
165,4321866.187199939
166,4465695.2916282825
167,4233861.005783602
168,4367165.066478432
169,4837095.709301261
170,4291591.364457147
171,3966081.6322009894
