,0
0,3985473.819338232
1,4097048.2672949205
2,4221778.7406253265
3,3923498.983663176
4,3796182.8453366337
5,4586703.753235454
6,4126351.477608887
7,4004284.2731158203
8,4992178.6956453705
9,3799358.3496255907
10,5574137.509563291
11,4127826.3329247776
12,4387584.882186695
13,4930073.3662238335
14,5006278.390697736
15,5150022.75421271
16,4291806.5507803485
17,3468796.1125405133
18,4619767.514327661
19,3862123.3449625517
20,3721353.9525526697
21,4852927.041259632
22,3844140.562325
23,4645497.371289356
24,6642060.905119252
25,4630827.992208296
26,3518315.0473077637
27,4073610.7187974686
28,4049128.065229316
29,4951670.481027201
30,6301538.38768057
31,4236927.899622699
32,4020747.3837689096
33,5238692.913798763
34,4277020.331559448
35,5984719.651903795
36,3964239.98956523
37,4346061.159275081
38,4047195.7922192635
39,4624222.448975945
40,4894718.436729731
41,4229539.95814866
42,3270692.8672815654
43,5462224.358389901
44,3872786.35212076
45,4098097.5613189386
46,3753561.5358337937
47,2828147.3183471374
48,4710287.3545247335
49,4393749.304059386
50,4296017.752426215
51,4473847.92669798
52,5062273.207361152
53,3760784.1431788565
54,4038195.094284322
55,4623198.53341165
56,4399671.063283537
57,4231526.748708431
58,4783181.687910399
59,3973104.5119787185
60,3951259.957249314
61,4291029.691536
62,4627216.074185794
63,4291143.782869463
64,4897874.036392441
65,5288172.783342972
66,4228222.615839403
67,5182010.173929854
68,5017536.7901721
69,5027903.0516140275
70,4645568.115087551
71,4245200.667232961
72,4258505.111059868
73,4347385.193689986
74,4080163.984760206
75,4089344.830600605
76,4175222.514533636
77,4369540.683678942
78,3755808.7029087306
79,3713668.474814207
80,4947932.342142604
81,4640924.326778137
82,4958116.771042433
83,4019573.612842659
84,5749374.013222399
85,3771689.928800041
86,4996226.525939379
87,5070181.197957702
88,4216615.214429179
89,5008269.035865988
90,4374871.407227406
91,4040593.9179721293
92,4531790.706981636
93,3874408.982275541
94,4988452.6767550325
95,3651516.495948259
96,3961085.0175535493
97,4515915.477141434
98,3986497.0176583314
99,5375508.388962572
100,5036511.790763303
101,3973347.3219780233
102,4201539.051943849
103,3772701.8987753512
104,4397354.357051888
105,2965247.625036159
106,4848570.019755799
107,5092969.811991522
108,4745962.948358714
109,5072664.271950408
110,4722809.108947532
111,4434833.442496109
112,5116245.52671866
113,4571393.02234114
114,4261954.388850519
115,4334626.890190022
116,4050598.0614148257
117,4835841.244041113
118,4926310.989107683
119,4002540.267357547
120,5202509.704888193
121,4541393.848281581
122,4929284.947144774
123,5008724.883599653
124,3996965.74959301
125,2209825.0364353075
126,3959599.5812639873
127,4144972.822582292
128,3347100.9161185967
129,2876780.116954894
130,3994599.692893549
131,4144522.8347154087
132,4773740.413716002
133,3529215.7797536245
134,3891333.0081590563
135,2961997.7353894124
136,4482162.888148618
137,2617460.2095208196
138,4041907.157715329
139,5033824.660687118
140,6043878.416511219
141,4081411.079451656
142,5431940.719482371
143,3574253.060121967
144,5066728.8698119465
145,2613562.4701911146
146,3684094.7766603013
147,4144081.0388293057
148,4210804.078556703
149,3607699.9289511116
150,4233392.205055255
151,3577286.7984721204
152,5061511.126460316
153,6664048.053554114
154,4794906.980285378
155,4067893.920615027
156,4735329.887735884
157,5540827.157237051
158,4634358.885341778
159,4190058.043021358
160,4080868.8500102116
161,4220045.847013283
162,3932899.876727786
163,5279401.959141243
164,4690045.648824809
165,4357501.798948802
166,4123650.1064802227
167,3961047.181771609
168,4397412.0089941
169,5000077.159422623
170,4063785.1416369523
171,3655188.376434197
172,3579366.009575349
173,5183189.7842043415
174,5110065.266859745
175,4113899.3850413305
176,5153302.078784475
177,4767330.778330052
178,4859653.738922227
179,4303010.281270629
180,3834221.7379300003
181,4303736.731874222
182,3677119.303426345
183,5054565.785835812
184,4243997.3422458125
185,4039637.773289547
186,3709146.140439717
187,4807206.553544905
188,4996109.901383522
189,4201200.0786669245
190,4422039.147930425
191,4831960.310651723
192,5057475.853322446
193,4044527.538646966
194,5099491.165717133
195,5016421.64960927
196,5267535.744889634
197,3937397.4099719925
198,4263369.4001144795
199,5041801.767449398
200,4355409.05265363
201,3565441.850436593
202,4531890.634164126
203,5409874.581143956
204,4826413.617453664
205,4899914.142092193
206,3644487.38570406
207,3742050.382497985
208,4583990.810478161
209,4454220.695233881
210,4251635.98931946
211,4293933.227202025
212,3588505.5269999797
213,3892748.069063127
214,4356307.222486318
215,3698160.787367252
216,4921112.935367346
217,4249847.297787204
218,4981326.9525823705
219,3716164.3940545553
220,4936545.602167776
221,3655552.4189756652
222,4325526.075771742
223,4254586.915262158
224,5153462.630523923
225,2973472.24167463
226,4039377.570272005
227,4826379.299908296
228,3913004.1532220007
229,4728371.729914403
230,4359812.16306605
231,5437759.74381835
232,4711012.407921757
233,4535416.476367335
234,3822376.488544906
235,4080019.5141847758
236,5231219.936137134
237,4475709.469456651
238,4672180.42483115
239,3602174.6749954843
240,4397706.384617504
241,3936967.070939171
242,3623713.587837404
243,4748045.115716652
244,3805481.4765536017
245,4746163.336514125
246,4163222.073302629
247,4458061.395884012
248,4241772.130081644
249,3926035.506494448
250,3171700.2323066033
251,4479829.959749835
252,4336230.696012233
253,4022974.527611672
254,4529421.081408144
255,3293694.339047707
256,4951718.467613609
257,4040622.4526440334
258,3535161.3522750773
259,4420434.575933809
260,3710845.53085604
261,6045061.50981557
262,5694369.866708694
263,3909891.2620701594
264,3901823.273159834
265,5098554.532651134
266,3945471.007340987
267,5105609.494280361
268,5365801.229140727
269,4751206.884355523
270,3783192.0300171925
271,3987020.152652832
272,4837546.742969388
273,4535325.223002049
274,4428313.925654758
275,5056126.065421139
276,5415750.422119086
277,4258494.231502778
278,4762462.982779752
279,5478639.566358616
280,4764043.289404808
281,4225448.917759935
282,3746002.5283102198
283,4030168.016380124
284,4845623.430042236
285,3725313.8791509336
286,4712098.441408799
287,2546202.250553027
288,3789019.5430152994
289,3574108.2566977735
290,4196671.2499439325
291,4406281.52228364
292,4153792.7083281605
293,4014609.585431394
294,4190112.9307606695
295,4651436.343439965
296,4955515.135098417
297,4795457.2303439835
298,4988994.304775239
299,5269154.282292162
300,2814435.0150971795
301,4251572.678051496
302,4249675.289976516
303,4895531.149056555
304,4278861.591989817
305,5053607.048215037
306,4307772.79100188
307,3822769.4512629355
308,3797238.07641789
309,4227474.463219879
310,4241009.137180576
311,4370273.31856346
312,3889298.000229091
313,1856315.8511888627
314,3598571.825150222
315,4494284.5284221945
316,3921193.0018667043
317,4342112.260940635
318,5506222.8742565345
319,4403440.7927188575
320,4659417.338555193
321,4144802.399308818
322,4056595.3515921943
323,4418154.53510931
324,3932754.9482832598
325,4112726.506848368
326,5261314.559879351
327,3436698.2348801913
328,4433476.170248108
329,5226202.086931147
330,4127880.3106897064
331,4826863.085942506
332,4413709.788364012
333,4994178.913421507
334,5737798.49096032
335,4091433.6691507846
336,3900003.6825657175
337,3728266.1527119298
338,3965746.102531413
339,4047956.4985324023
340,4014989.3146600807
341,4329339.287417592
342,4841129.753369979
343,4544517.359461859
344,5002448.003101682
345,4323775.67499174
346,4133861.78118023
347,4119976.2883311743
348,4458636.2374726515
349,4987086.12154791
350,4120017.168725093
351,5222896.663967409
352,5235715.503231242
353,4217260.585213299
354,4080162.380981051
355,3776467.7859237203
356,3746661.6469745543
357,4414646.225542329
358,4925515.8453345345
359,4876166.734782941
360,2876780.116954894
361,5217534.246722805
362,4220855.590970203
363,3836359.1288939817
364,4640960.375884456
365,4640711.381287615
366,3807291.6938938755
367,3567999.945419172
368,4154797.148736798
369,5634836.638242237
370,4420418.827502012
371,4552982.999118857
372,4726065.09193449
373,5678839.354124061
374,4053467.5783259594
375,4047621.6083876262
376,4030111.1699509933
377,3561516.664279087
378,5378656.690322067
379,4373780.956923416
380,4092661.351107066
381,4142421.6473719557
382,3902726.8090597037
383,4266765.399046284
384,3761666.362521092
385,5568189.056059185
386,4298136.475424734
387,4221792.043602317
388,4269052.293815708
389,4125783.782726444
390,4990328.701893476
391,4064735.671043412
392,4310978.6875536
393,5179548.539489011
394,4498225.921712303
395,4337712.059353667
396,4984157.275651204
397,4886501.544132218
398,5037881.545476845
399,4222314.626010298
400,3881965.898977986
401,4936321.695539897
402,3643320.150458154
403,5286313.014365438
404,3827754.4651283063
405,4354499.935772203
406,4493067.281973897
407,4652517.09416078
408,3420297.8764871773
409,3858153.460157315
410,3975033.1908584754
411,4336168.104084902
412,4796778.189816063
413,4888873.656937766
414,5496337.127133494
415,3619219.814873337
416,5054913.468271735
417,4080857.342545286
418,3905652.5649637477
419,4013964.3368658638
420,4269081.9276572345
421,5214228.534645613
422,4180251.257312974
423,4470548.45964569
424,4204144.900510784
425,4719565.452132728
426,4117211.8933318406
427,3640119.2851607245
428,4194809.447441923
429,3949599.209450175
430,3609607.2470148085
431,4077702.4735869966
432,3880218.460938729
433,4687746.903439284
434,3928170.652170649
435,4443729.840798857
436,3877778.587213115
437,3970804.667361224
438,4286193.26089766
439,4497050.362537411
440,4442968.078042698
441,3862682.6506283158
442,5060990.130024767
443,5412453.250971792
444,4832271.65987775
445,4408556.832369896
446,5136571.931709663
447,4165733.0021118475
448,3104369.369814448
449,5153900.366039943
450,4473840.019323797
451,3928945.769744226
452,4178017.0492912685
453,4535362.4129042905
454,5701537.175539846
455,3690731.2837864337
456,4022233.9993484756
457,4688258.405494474
458,2920360.462088524
459,3609406.455217647
460,5539553.282199774
461,4525696.304755106
462,4889254.647685411
463,4317497.800405947
464,3793574.1503195176
465,3521626.048100162
466,4584604.814574458
467,3018701.8953175815
468,3434588.7144982805
469,3643025.2122113155
470,4847992.455484186
471,3222882.7804743154
472,3948860.549516614
473,4384180.0625836225
474,4378403.264298945
475,3894088.6107939677
476,4267511.270357282
477,2342772.4729237016
478,4270847.59334876
479,5532704.601692487
480,4846936.209270783
481,5051546.749091326
482,3395835.284574715
483,4454169.414333138
484,5331735.687433744
485,4097449.4702935605
486,4178900.4981946195
487,4173422.526501832
488,5007160.827126191
489,3752573.115031787
490,3899521.0727756117
491,3540545.5989993806
492,4522692.786660245
493,5227248.150111477
494,4127709.730028201
495,4420394.8473927025
496,3844845.305688005
497,3874444.68451548
498,3772403.6875315574
499,4394580.41407293
500,4344890.571142629
501,3935828.2539324476
502,4433884.415005898
503,5258993.243505299
504,3713806.354240034
505,3888023.2600667523
506,3341931.70886806
507,4132838.059910478
508,4097733.0402252297
509,3978332.640802339
510,5105304.999725372
511,5205441.625254206
512,3597962.938150822
513,5653053.745084163
514,3972333.5156548168
515,3819594.561209818
516,3669937.979438935
517,4553868.801308121
518,4988129.831204815
519,4225276.048976714
520,3527687.0630717026
521,4846658.016759898
522,5265436.807575113
523,4636312.407850029
524,5249401.27408716
525,5053116.218713738
526,3641101.325243906
527,4029129.8443794334
528,5308048.474301663
529,4278177.6209600195
530,4131329.591481333
531,4076213.3330891626
532,4040785.9935512254
533,4593137.131743941
534,4343932.92336197
535,4630827.992208296
536,4016040.4335813643
537,2689675.1642075544
538,3987092.2932684473
539,4689222.6459437655
540,4099966.4239126802
541,3516341.4574045436
542,4029992.1999654598
543,4278800.832133178
544,4030471.517439551
545,4490129.899673154
546,3830927.9942881432
547,4110304.568023235
548,3957432.476256939
549,4547005.015313638
550,4153384.9785048305
551,4728428.468037978
552,3995794.942935928
553,5243424.507990076
554,6002007.453941722
555,3647301.9627407244
556,3633542.8096665335
557,5161593.676703677
558,4289214.670866789
559,4086762.3196651395
560,4030388.776979683
561,4949363.60380579
562,3985719.4802343394
563,4971141.833090867
564,4146939.746013344
565,4111124.326531273
566,4078970.2876293063
567,4070853.542682952
568,4287244.357377397
569,3995453.838600289
570,4166630.590820546
571,4576037.8886132585
572,4582422.2988938065
573,4538772.312297949
574,4458190.886557223
575,3688951.7405428933
576,4904018.203442035
577,4040217.6264267135
578,2670770.4195826873
579,5051243.713671813
580,4334383.611827925
581,4289469.6324269865
582,4809598.727030548
583,3920173.4397688042
584,2518404.813114238
585,5054020.592857036
586,3606401.3325923835
587,3951589.3401885903
588,5332747.543770037
589,5339713.8670911705
590,3707414.3159250687
591,3988130.6061146082
592,4610309.499060633
593,3793806.9258066295
594,4040983.265557591
595,3613305.5480614845
596,5158730.580369171
597,4183880.4903047266
598,4067024.70223053
599,4879851.052416321
600,5487955.905348659
601,4319540.985889153
602,4489150.756286856
603,3781499.1794683645
604,3882800.2154946034
605,3668344.834946532
606,3683250.8214058145
607,4020485.3441676353
608,3488102.0416213227
609,4065125.3698378103
610,4831301.693809052
611,3751165.461821694
612,4835283.9975533495
613,4556055.615836714
614,4933897.841579653
615,4017187.0600311933
616,4960678.3140153205
617,4424657.314215495
618,4696004.181443086
619,5185842.328768164
620,4339471.356047872
621,5504799.191621164
622,4646535.896752951
623,4085684.4335420798
624,4059897.3516680426
625,5039736.473223823
626,5376641.164950353
627,4779537.596387106
628,4807127.147904594
629,3991036.214715002
630,5786568.820025313
631,4704427.9660232365
632,5185740.603506755
633,5223216.781585474
634,3711896.7852711026
635,3593851.1449289937
636,4272008.060609934
637,4299895.604300005
638,3906239.3175628437
639,4264296.735496059
640,3245684.981089081
641,3290071.605270208
642,4751763.123549874
643,4829784.785863389
644,4358079.507614563
645,3872956.0523959855
646,3986733.730857314
647,4020485.3441676353
648,5494143.17896018
649,3334687.8860182976
650,4168678.5989147257
651,4010048.0133850276
652,5330319.779085396
653,4978784.679416678
654,4234329.935335632
655,4556076.271996458
656,3997239.2624469334
657,4578583.802363727
658,4358589.05526258
659,4485526.203003973
660,6034547.977648318
661,5343478.406818632
662,5180069.646241025
663,5495154.46308509
664,4290146.120325981
665,4013698.8963996167
666,4925021.904471224
667,5187372.027227164
668,3849350.0555147147
669,4112676.8601029743
670,5846041.583647004
671,4292062.636253664
672,4437459.728063361
673,4322425.901439238
674,4735495.1478882395
675,4156897.935073181
676,4479551.978232473
677,3597424.2700255085
678,4588661.801195854
679,4592992.63521864
680,4295910.158254415
681,4341002.824711888
682,3985133.260500329
683,5450182.836831056
684,4291197.682179832
685,4866096.369081309
686,4210320.760854435
687,3924306.3567275563
688,4722027.186007438
689,4215809.831748442
690,3470319.131587463
691,3598806.401665424
692,4209162.079682281
693,4220748.865585132
694,3594456.7852956234
695,2297672.635535827
696,4210496.422023211
697,4232809.169860636
698,5058473.596695641
699,3527241.5375310183
700,4579213.277466136
701,5058952.762804274
702,4133311.7634031046
703,5160530.386618827
704,4678297.541083813
705,4934678.377159459
706,4609358.831865133
707,4182333.0318236765
708,4277999.094075168
709,4344223.7938327715
710,4936131.555819345
711,4449824.17101178
